"Symptom Group","Symptom","Cancer Group","Cancer Site","N_Men","% (95% CI)_Men","N_Women","% (95% CI)_Women"
"Female specific","Female specific - Post-menopausal bleeding (Men=N<20, Women=1063)","Gynaecological","Ovary","N<20","-","1063","5.83 (4.58, 7.41)"
"Female specific","Female specific - Post-menopausal bleeding (Men=N<20, Women=1063)","Gynaecological","Uterus","N<20","-","1063","83.8 (81.5, 85.9)"
"Female specific","Female specific - Post-menopausal bleeding (Men=N<20, Women=1063)","Gynaecological","Vulva/Vagina","N<20","-","1063","1.13 (0.65, 1.96)"
"Female specific","Female specific - Post-menopausal bleeding (Men=N<20, Women=1063)","Prostate and other male organs","Penile","N<20","-","1063","-"
"Female specific","Female specific - Post-menopausal bleeding (Men=N<20, Women=1063)","Prostate and other male organs","Prostate","N<20","-","1063","-"
"Female specific","Female specific - Post-menopausal bleeding (Men=N<20, Women=1063)","Prostate and other male organs","Testicular","N<20","-","1063","-"
"Female specific","Female specific - Post-menopausal bleeding (Men=N<20, Women=1063)","Other malignant neoplasms","Other malignant neoplasms","N<20","-","1063","0.28 (0.10, 0.83)"
"Female specific","Female specific - Post-menopausal bleeding (Men=N<20, Women=1063)","Unknown primary","Unknown primary","N<20","-","1063","0.56 (0.26, 1.23)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Head and neck","Larynx","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Head and neck","Oral cavity","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Head and neck","Oropharynx","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Head and neck","Thyroid","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Head and neck","Other head and neck","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Upper GI","Oesophagus","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Upper GI","Stomach","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Lower GI","Anal","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Lower GI","Colon","N<20","-","126","0.79 (0.14, 4.36)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Lower GI","Rectum","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Lower GI","Small intestine","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","HPB","Liver","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","HPB","Pancreas","N<20","-","126","0.79 (0.14, 4.36)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","HPB","Other HPB","N<20","-","126","0.79 (0.14, 4.36)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Respiratory","Lung","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Respiratory","Mesothelioma","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Urological","Bladder","N<20","-","126","3.17 (1.24, 7.88)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Urological","Kidney","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Urological","Ureteric and other urinary","N<20","-","126","1.59 (0.44, 5.60)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Haematological","Acute leukaemia","N<20","-","126","0.79 (0.14, 4.36)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Haematological","Chronic lymphocytic leukaemia","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Haematological","Hodgkin lymphoma","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Haematological","Multiple myeloma","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Haematological","Non-Hodgkin lymphoma","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Haematological","Other haematological","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","CNS","CNS","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Sarcoma","Bone sarcoma","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Sarcoma","Connective and soft tissue sarcoma","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Skin","Melanoma","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Ocular","Ocular","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Breast","Breast","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Gynaecological","Cervix","N<20","-","126","17.5 (11.8, 25.0)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Gynaecological","Ovary","N<20","-","126","15.9 (10.5, 23.2)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Gynaecological","Uterus","N<20","-","126","54.0 (45.3, 62.4)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Gynaecological","Vulva/Vagina","N<20","-","126","3.97 (1.71, 8.95)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Prostate and other male organs","Penile","N<20","-","126","-"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Prostate and other male organs","Prostate","N<20","-","126","-"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Prostate and other male organs","Testicular","N<20","-","126","-"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Other malignant neoplasms","Other malignant neoplasms","N<20","-","126","0.00 (0.00, 2.96)"
"Female specific","Female specific - Vaginal discharge (Men=N<20, Women=126)","Unknown primary","Unknown primary","N<20","-","126","0.79 (0.14, 4.36)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Head and neck","Larynx","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Head and neck","Oral cavity","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Head and neck","Oropharynx","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Head and neck","Thyroid","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Head and neck","Other head and neck","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Upper GI","Oesophagus","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Upper GI","Stomach","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Lower GI","Anal","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Lower GI","Colon","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Lower GI","Rectum","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Lower GI","Small intestine","N<20","-","41","2.44 (0.43, 12.6)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","HPB","Liver","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","HPB","Pancreas","N<20","-","41","2.44 (0.43, 12.6)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","HPB","Other HPB","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Respiratory","Lung","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Respiratory","Mesothelioma","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Urological","Bladder","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Urological","Kidney","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Urological","Ureteric and other urinary","N<20","-","41","2.44 (0.43, 12.6)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Haematological","Acute leukaemia","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Haematological","Chronic lymphocytic leukaemia","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Haematological","Hodgkin lymphoma","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Haematological","Multiple myeloma","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Haematological","Non-Hodgkin lymphoma","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Haematological","Other haematological","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","CNS","CNS","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Sarcoma","Bone sarcoma","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Sarcoma","Connective and soft tissue sarcoma","N<20","-","41","2.44 (0.43, 12.6)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Skin","Melanoma","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Ocular","Ocular","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Breast","Breast","N<20","-","41","4.88 (1.35, 16.1)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Gynaecological","Cervix","N<20","-","41","17.1 (8.53, 31.3)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Gynaecological","Ovary","N<20","-","41","14.6 (6.88, 28.4)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Gynaecological","Uterus","N<20","-","41","26.8 (15.7, 41.9)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Gynaecological","Vulva/Vagina","N<20","-","41","26.8 (15.7, 41.9)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Prostate and other male organs","Penile","N<20","-","41","-"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Prostate and other male organs","Prostate","N<20","-","41","-"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Prostate and other male organs","Testicular","N<20","-","41","-"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Other malignant neoplasms","Other malignant neoplasms","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vaginal mass (Men=N<20, Women=41)","Unknown primary","Unknown primary","N<20","-","41","0.00 (0.00, 8.57)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Head and neck","Larynx","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Head and neck","Oral cavity","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Head and neck","Oropharynx","N<20","-","69","1.45 (0.26, 7.76)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Head and neck","Thyroid","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Head and neck","Other head and neck","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Upper GI","Oesophagus","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Upper GI","Stomach","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Lower GI","Anal","N<20","-","69","1.45 (0.26, 7.76)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Lower GI","Colon","N<20","-","69","1.45 (0.26, 7.76)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Lower GI","Rectum","N<20","-","69","1.45 (0.26, 7.76)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Lower GI","Small intestine","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","HPB","Liver","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","HPB","Pancreas","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","HPB","Other HPB","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Respiratory","Lung","N<20","-","69","1.45 (0.26, 7.76)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Respiratory","Mesothelioma","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Urological","Bladder","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Urological","Kidney","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Urological","Ureteric and other urinary","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Haematological","Acute leukaemia","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Haematological","Chronic lymphocytic leukaemia","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Haematological","Hodgkin lymphoma","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Haematological","Multiple myeloma","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Haematological","Non-Hodgkin lymphoma","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Haematological","Other haematological","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","CNS","CNS","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Sarcoma","Bone sarcoma","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Sarcoma","Connective and soft tissue sarcoma","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Skin","Melanoma","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Ocular","Ocular","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Breast","Breast","N<20","-","69","1.45 (0.26, 7.76)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Gynaecological","Cervix","N<20","-","69","11.6 (5.99, 21.2)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Gynaecological","Ovary","N<20","-","69","5.80 (2.28, 14.0)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Gynaecological","Uterus","N<20","-","69","40.6 (29.8, 52.4)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Gynaecological","Vulva/Vagina","N<20","-","69","33.3 (23.4, 45.1)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Prostate and other male organs","Penile","N<20","-","69","-"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Prostate and other male organs","Prostate","N<20","-","69","-"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Prostate and other male organs","Testicular","N<20","-","69","-"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Other malignant neoplasms","Other malignant neoplasms","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval bleeding (Men=N<20, Women=69)","Unknown primary","Unknown primary","N<20","-","69","0.00 (0.00, 5.27)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Head and neck","Larynx","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Head and neck","Oral cavity","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Head and neck","Oropharynx","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Head and neck","Thyroid","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Head and neck","Other head and neck","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Upper GI","Oesophagus","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Upper GI","Stomach","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Lower GI","Anal","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Lower GI","Colon","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Lower GI","Rectum","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Lower GI","Small intestine","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","HPB","Liver","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","HPB","Pancreas","N<20","-","84","1.19 (0.21, 6.44)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","HPB","Other HPB","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Respiratory","Lung","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Respiratory","Mesothelioma","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Urological","Bladder","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Urological","Kidney","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Urological","Ureteric and other urinary","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Haematological","Acute leukaemia","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Haematological","Chronic lymphocytic leukaemia","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Haematological","Hodgkin lymphoma","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Haematological","Multiple myeloma","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Haematological","Non-Hodgkin lymphoma","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Haematological","Other haematological","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","CNS","CNS","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Sarcoma","Bone sarcoma","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Sarcoma","Connective and soft tissue sarcoma","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Skin","Melanoma","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Ocular","Ocular","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Breast","Breast","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Gynaecological","Cervix","N<20","-","84","2.38 (0.66, 8.27)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Gynaecological","Ovary","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Gynaecological","Uterus","N<20","-","84","2.38 (0.66, 8.27)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Gynaecological","Vulva/Vagina","N<20","-","84","91.7 (83.8, 95.9)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Prostate and other male organs","Penile","N<20","-","84","-"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Prostate and other male organs","Prostate","N<20","-","84","-"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Prostate and other male organs","Testicular","N<20","-","84","-"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Other malignant neoplasms","Other malignant neoplasms","N<20","-","84","0.00 (0.00, 4.37)"
"Female specific","Female specific - Vulval mass (Men=N<20, Women=84)","Unknown primary","Unknown primary","N<20","-","84","2.38 (0.66, 8.27)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Head and neck","Larynx","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Head and neck","Oral cavity","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Head and neck","Oropharynx","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Head and neck","Thyroid","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Head and neck","Other head and neck","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Upper GI","Oesophagus","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Upper GI","Stomach","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Lower GI","Anal","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Lower GI","Colon","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Lower GI","Rectum","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Lower GI","Small intestine","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","HPB","Liver","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","HPB","Pancreas","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","HPB","Other HPB","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Respiratory","Lung","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Respiratory","Mesothelioma","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Urological","Bladder","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Urological","Kidney","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Urological","Ureteric and other urinary","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Haematological","Acute leukaemia","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Haematological","Chronic lymphocytic leukaemia","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Haematological","Hodgkin lymphoma","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Haematological","Multiple myeloma","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Haematological","Non-Hodgkin lymphoma","N<20","-","55","1.82 (0.32, 9.61)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Haematological","Other haematological","N<20","-","55","1.82 (0.32, 9.61)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","CNS","CNS","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Sarcoma","Bone sarcoma","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Sarcoma","Connective and soft tissue sarcoma","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Skin","Melanoma","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Ocular","Ocular","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Breast","Breast","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Gynaecological","Cervix","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Gynaecological","Ovary","N<20","-","55","0.00 (0.00, 6.53)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Gynaecological","Uterus","N<20","-","55","1.82 (0.32, 9.61)"
"Female specific","Female specific - Vulval ulceration (Men=N<20, Women=55)","Gynaecological","Vulva/Vagina","N<20","-","55","94.5 (85.1, 98.1)"
